Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
81632;Edwards;CO;39.620748;-106.6148;-7;1;39.620748,-106.6148
80422;Black Hawk;CO;39.813744;-105.50875;-7;1;39.813744,-105.50875
81211;Buena Vista;CO;38.867111;-106.14664;-7;1;38.867111,-106.14664
80459;Kremmling;CO;40.14711;-106.42854;-7;1;40.14711,-106.42854
80919;Colorado Springs;CO;38.925451;-104.85255;-7;1;38.925451,-104.85255
81152;San Luis;CO;37.134458;-105.54778;-7;1;37.134458,-105.54778
81602;Glenwood Springs;CO;39.511742;-107.325336;-7;1;39.511742,-107.325336
80110;Englewood;CO;39.646847;-104.99076;-7;1;39.646847,-104.99076
81656;Woody Creek;CO;39.30179;-106.81878;-7;1;39.30179,-106.81878
80251;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
81087;Vilas;CO;37.377938;-102.42882;-7;1;37.377938,-102.42882
80543;Milliken;CO;40.332926;-104.85394;-7;1;40.332926,-104.85394
81038;Fort Lyon;CO;37.955547;-103.072469;-7;1;37.955547,-103.072469
81504;Grand Junction;CO;39.085481;-108.49019;-7;1;39.085481,-108.49019
80161;Littleton;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80601;Brighton;CO;39.973251;-104.82407;-7;1;39.973251,-104.82407
80115;Aurora;CO;39.636562;-104.82093;-7;1;39.636562,-104.82093
80135;Sedalia;CO;39.340969;-105.05404;-7;1;39.340969,-105.05404
81503;Grand Junction;CO;39.059221;-108.58311;-7;1;39.059221,-108.58311
80129;Littleton;CO;39.539556;-105.009739;-7;1;39.539556,-105.009739
80631;Greeley;CO;40.421845;-104.69175;-7;1;40.421845,-104.69175
80524;Fort Collins;CO;40.606962;-105.05106;-7;1;40.606962,-105.05106
80468;Parshall;CO;39.967717;-106.16205;-7;1;39.967717,-106.16205
80249;Denver;CO;39.793686;-104.73913;-7;1;39.793686,-104.73913
80943;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80118;Larkspur;CO;39.206652;-104.90983;-7;1;39.206652,-104.90983
81251;Twin Lakes;CO;39.096394;-106.32916;-7;1;39.096394,-106.32916
80501;Longmont;CO;40.171484;-105.10033;-7;1;40.171484,-105.10033
81015;Pueblo;CO;38.128626;-104.552299;-7;1;38.128626,-104.552299
81074;Starkville;CO;37.121029;-104.523155;-7;1;37.121029,-104.523155
81524;Loma;CO;39.238633;-108.78893;-7;1;39.238633,-108.78893
80136;Strasburg;CO;39.776934;-104.30997;-7;1;39.776934,-104.30997
80290;Denver;CO;39.744086;-104.98696;-7;1;39.744086,-104.98696
80863;Woodland Park;CO;38.996004;-105.06335;-7;1;38.996004,-105.06335
80950;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80536;Livermore;CO;40.878334;-105.40415;-7;1;40.878334,-105.40415
80112;Englewood;CO;39.579454;-104.88288;-7;1;39.579454,-104.88288
80743;Otis;CO;40.215063;-102.95628;-7;1;40.215063,-102.95628
80208;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80654;Wiggins;CO;40.196296;-104.07361;-7;1;40.196296,-104.07361
81236;Nathrop;CO;38.720234;-106.18801;-7;1;38.720234,-106.18801
80905;Colorado Springs;CO;38.837542;-104.83632;-7;1;38.837542,-104.83632
81420;Lazear;CO;38.781745;-107.780778;-7;1;38.781745,-107.780778
81430;Placerville;CO;38.08677;-108.00332;-7;1;38.08677,-108.00332
80623;Gilcrest;CO;40.28319;-104.77878;-7;1;40.28319,-104.77878
81418;Eckert;CO;38.842439;-107.96085;-7;1;38.842439,-107.96085
80261;Denver;CO;39.737929;-104.985036;-7;1;39.737929,-104.985036
80252;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80227;Denver;CO;39.668576;-105.09191;-7;1;39.668576,-105.09191
80015;Aurora;CO;39.623896;-104.77723;-7;1;39.623896,-104.77723
80639;Greeley;CO;40.399281;-104.70172;-7;1;40.399281,-104.70172
80916;Colorado Springs;CO;38.808934;-104.73823;-7;1;38.808934,-104.73823
80727;Eckley;CO;40.086896;-102.48265;-7;1;40.086896,-102.48265
80046;Aurora;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80813;Cripple Creek;CO;38.75604;-105.1497;-7;1;38.75604,-105.1497
81228;Granite;CO;39.030747;-106.256615;-7;1;39.030747,-106.256615
80734;Holyoke;CO;40.582954;-102.30451;-7;1;40.582954,-102.30451
81006;Pueblo;CO;38.243266;-104.52912;-7;1;38.243266,-104.52912
80433;Conifer;CO;39.514738;-105.31198;-7;1;39.514738,-105.31198
80291;Denver;CO;39.74394;-104.987577;-7;1;39.74394,-104.987577
80427;Central City;CO;39.804776;-105.53422;-7;1;39.804776,-105.53422
80646;Lucerne;CO;40.48243;-104.70542;-7;1;40.48243,-104.70542
81327;Lewis;CO;37.534825;-108.65188;-7;1;37.534825,-108.65188
81157;Pagosa Springs;CO;37.270438;-107.093153;-7;1;37.270438,-107.093153
80250;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
81329;Marvel;CO;37.092605;-108.125194;-7;1;37.092605,-108.125194
80011;Aurora;CO;39.739737;-104.80905;-7;1;39.739737,-104.80905
81320;Cahone;CO;37.696224;-108.78271;-7;1;37.696224,-108.78271
80116;Franktown;CO;39.355957;-104.7241;-7;1;39.355957,-104.7241
80446;Granby;CO;40.142434;-105.95502;-7;1;40.142434,-105.95502
80301;Boulder;CO;40.044385;-105.21928;-7;1;40.044385,-105.21928
80537;Loveland;CO;40.383636;-105.10349;-7;1;40.383636,-105.10349
80434;Cowdrey;CO;40.92301;-106.33104;-7;1;40.92301,-106.33104
81620;Avon;CO;39.63298;-106.51534;-7;1;39.63298,-106.51534
80150;Englewood;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80860;Victor;CO;38.719345;-105.12429;-7;1;38.719345,-105.12429
80611;Briggsdale;CO;40.581437;-104.26915;-7;1;40.581437,-104.26915
80533;Hygiene;CO;40.181515;-105.232695;-7;1;40.181515,-105.232695
80031;Westminster;CO;39.866785;-105.04143;-7;1;39.866785,-105.04143
80036;Westminster;CO;39.80797;-104.407918;-7;1;39.80797,-104.407918
81220;Cimarron;CO;38.321598;-107.4166;-7;1;38.321598,-107.4166
80997;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80229;Denver;CO;39.859585;-104.95943;-7;1;39.859585,-104.95943
80210;Denver;CO;39.679437;-104.96473;-7;1;39.679437,-104.96473
80755;Vernon;CO;39.940858;-102.36417;-7;1;39.940858,-102.36417
80101;Agate;CO;39.378712;-104.02409;-7;1;39.378712,-104.02409
81506;Grand Junction;CO;39.106039;-108.54679;-7;1;39.106039,-108.54679
80013;Aurora;CO;39.659105;-104.7791;-7;1;39.659105,-104.7791
80456;Jefferson;CO;39.310793;-105.74027;-7;1;39.310793,-105.74027
81046;Hoehne;CO;37.279584;-104.358375;-7;1;37.279584,-104.358375
80502;Longmont;CO;40.087835;-105.373507;-7;1;40.087835,-105.373507
80516;Erie;CO;40.051051;-105.02767;-7;1;40.051051,-105.02767
81230;Gunnison;CO;38.464132;-106.95776;-7;1;38.464132,-106.95776
80027;Louisville;CO;39.963322;-105.15053;-7;1;39.963322,-105.15053
80461;Leadville;CO;39.231775999999996;-106.31399;-7;1;39.231776,-106.31399
80216;Denver;CO;39.784622;-104.96214;-7;1;39.784622,-104.96214
80924;Breckenridge;CO;39.527772;-106.039412;-7;1;39.527772,-106.039412
80232;Denver;CO;39.690387;-105.08866;-7;1;39.690387,-105.08866
80425;Buffalo Creek;CO;39.361089;-105.22472;-7;1;39.361089,-105.22472
80514;Dacono;CO;40.083475;-104.93581;-7;1;40.083475,-104.93581
80534;Johnstown;CO;40.335398;-104.91477;-7;1;40.335398,-104.91477
81212;Canon City;CO;38.464212;-105.27973;-7;1;38.464212,-105.27973
80007;Arvada;CO;39.833442;-105.18591;-7;1;39.833442,-105.18591
80547;Timnath;CO;40.528966;-104.98083;-7;1;40.528966,-104.98083
80825;Kit Carson;CO;38.765737;-102.78889;-7;1;38.765737,-102.78889
81079;Colorado City;CO;37.951881;-104.858227;-7;1;37.951881,-104.858227
81523;Glade Park;CO;38.958934;-108.85126;-7;1;38.958934,-108.85126
81623;Carbondale;CO;39.335504;-107.1882;-7;1;39.335504,-107.1882
80949;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
81224;Crested Butte;CO;38.865307;-106.96556;-7;1;38.865307,-106.96556
81410;Austin;CO;38.79053;-107.97404;-7;1;38.79053,-107.97404
80435;Dillon;CO;39.607479;-105.97937;-7;1;39.607479,-105.97937
81024;Boncarbo;CO;37.229888;-104.71063;-7;1;37.229888,-104.71063
80221;Denver;CO;39.816536;-105.01123;-7;1;39.816536,-105.01123
81640;Maybell;CO;40.594344;-108.39974;-7;1;40.594344,-108.39974
80042;Aurora;CO;39.80797;-104.407918;-7;1;39.80797,-104.407918
80912;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
81040;Gardner;CO;37.777997;-105.20072;-7;1;37.777997,-105.20072
81414;Cory;CO;38.788697;-107.986174;-7;1;38.788697,-107.986174
81335;Yellow Jacket;CO;37.508184;-108.78311;-7;1;37.508184,-108.78311
81303;Durango;CO;37.222311;-107.653131;-7;1;37.222311,-107.653131
80509;Colorado Springs;CO;38.828692;-104.84063;-7;1;38.828692,-104.84063
80105;Deer Trail;CO;39.631741;-104.01594;-7;1;39.631741,-104.01594
81416;Delta;CO;38.733901;-108.08219;-7;1;38.733901,-108.08219
80864;Yoder;CO;38.688075;-104.17321;-7;1;38.688075,-104.17321
81242;Poncha Springs;CO;38.471892;-106.097284;-7;1;38.471892,-106.097284
80498;Silverthorne;CO;39.722417;-106.13744;-7;1;39.722417,-106.13744
81153;San Pablo;CO;37.127132;-105.3675;-7;1;37.127132,-105.3675
80419;Golden;CO;39.522014;-105.223945;-7;1;39.522014,-105.223945
81631;Eagle;CO;39.622314;-106.7751;-7;1;39.622314,-106.7751
81008;Pueblo;CO;38.370203;-104.61964;-7;1;38.370203,-104.61964
80528;Fort Collins;CO;40.502779;-105.01123;-7;1;40.502779,-105.01123
80814;Divide;CO;38.927344;-105.18746;-7;1;38.927344,-105.18746
80527;Fort Collins;CO;40.540565;-105.280009;-7;1;40.540565,-105.280009
81635;Parachute;CO;39.493283;-108.11571;-7;1;39.493283,-108.11571
80247;Denver;CO;39.693573;-104.876649;-7;1;39.693573,-104.876649
81025;Boone;CO;38.243711;-104.23282;-7;1;38.243711,-104.23282
80130;Lone Tree;CO;39.541571;-104.92152;-7;1;39.541571,-104.92152
80833;Rush;CO;38.694617;-103.96314;-7;1;38.694617,-103.96314
81222;Coaldale;CO;38.374462;-105.76738;-7;1;38.374462,-105.76738
80239;Denver;CO;39.788236;-104.83034;-7;1;39.788236,-104.83034
81434;Somerset;CO;38.994185;-107.35526;-7;1;38.994185,-107.35526
80421;Bailey;CO;39.460306;-105.476;-7;1;39.460306,-105.476
81002;Pueblo;CO;38.128626;-104.552299;-7;1;38.128626,-104.552299
80541;Masonville;CO;40.529278;-105.372014;-7;1;40.529278,-105.372014
80304;Boulder;CO;40.039784;-105.27938;-7;1;40.039784,-105.27938
80471;Pinecliffe;CO;39.947386;-105.459269;-7;1;39.947386,-105.459269
80630;Greeley;CO;40.405094;-104.800547;-7;1;40.405094,-104.800547
81248;Sargents;CO;38.410975;-106.47812;-7;1;38.410975,-106.47812
80644;Kersey;CO;40.363777;-104.51964;-7;1;40.363777,-104.51964
80125;Littleton;CO;39.479365;-105.06708;-7;1;39.479365,-105.06708
80214;Denver;CO;39.745526;-105.06251;-7;1;39.745526,-105.06251
80642;Hudson;CO;40.060539;-104.62943;-7;1;40.060539,-104.62943
80829;Manitou Springs;CO;38.853663;-104.93485;-7;1;38.853663,-104.93485
80220;Denver;CO;39.734387;-104.91678;-7;1;39.734387,-104.91678
80263;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80750;Snyder;CO;40.382063;-103.60936;-7;1;40.382063,-103.60936
80933;Colorado Springs;CO;38.939371;-105.011786;-7;1;38.939371,-105.011786
81057;McClave;CO;38.136132;-102.88325;-7;1;38.136132,-102.88325
81415;Crawford;CO;38.636112;-107.59315;-7;1;38.636112,-107.59315
81625;Craig;CO;40.566113;-107.60818;-7;1;40.566113,-107.60818
80163;Littleton;CO;39.347863;-104.994708;-7;1;39.347863,-104.994708
80265;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80549;Wellington;CO;40.762264;-105.01233;-7;1;40.762264,-105.01233
80203;Denver;CO;39.731286;-104.98306;-7;1;39.731286,-104.98306
80821;Hugo;CO;39.020889;-103.48045;-7;1;39.020889,-103.48045
81054;Las Animas;CO;38.037435;-103.18631;-7;1;38.037435,-103.18631
80120;Littleton;CO;39.599687;-105.00658;-7;1;39.599687,-105.00658
81019;Colorado City;CO;37.887346;-104.613617;-7;1;37.887346,-104.613617
81122;Bayfield;CO;37.329743;-107.59026;-7;1;37.329743,-107.59026
80012;Aurora;CO;39.698387;-104.83956;-7;1;39.698387,-104.83956
81143;Moffat;CO;38.142453;-105.91579;-7;1;38.142453,-105.91579
